id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;status_kawin;jumlah_penduduk;satuan;tahun
229;32;JAWA BARAT;3205;KABUPATEN GARUT;BELUM KAWIN;1148848;JIWA;2015
230;32;JAWA BARAT;3205;KABUPATEN GARUT;KAWIN;958665;JIWA;2015
231;32;JAWA BARAT;3205;KABUPATEN GARUT;CERAI HIDUP;24948;JIWA;2015
232;32;JAWA BARAT;3205;KABUPATEN GARUT;CERAI MATI;54439;JIWA;2015
233;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;BELUM KAWIN;734086;JIWA;2015
234;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;KAWIN;851634;JIWA;2015
235;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;CERAI HIDUP;34526;JIWA;2015
236;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;CERAI MATI;54216;JIWA;2015
237;32;JAWA BARAT;3207;KABUPATEN CIAMIS;BELUM KAWIN;491197;JIWA;2015
238;32;JAWA BARAT;3207;KABUPATEN CIAMIS;KAWIN;644754;JIWA;2015
239;32;JAWA BARAT;3207;KABUPATEN CIAMIS;CERAI HIDUP;17234;JIWA;2015
240;32;JAWA BARAT;3207;KABUPATEN CIAMIS;CERAI MATI;57548;JIWA;2015
241;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;BELUM KAWIN;483184;JIWA;2015
242;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;KAWIN;569821;JIWA;2015
243;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;CERAI HIDUP;13667;JIWA;2015
244;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;CERAI MATI;47805;JIWA;2015
245;32;JAWA BARAT;3209;KABUPATEN CIREBON;BELUM KAWIN;930062;JIWA;2015
246;32;JAWA BARAT;3209;KABUPATEN CIREBON;KAWIN;1023581;JIWA;2015
247;32;JAWA BARAT;3209;KABUPATEN CIREBON;CERAI HIDUP;26541;JIWA;2015
248;32;JAWA BARAT;3209;KABUPATEN CIREBON;CERAI MATI;77159;JIWA;2015
249;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;BELUM KAWIN;514913;JIWA;2015
250;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;KAWIN;665960;JIWA;2015
251;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;CERAI HIDUP;22711;JIWA;2015
252;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;CERAI MATI;46596;JIWA;2015
